10567,0.722,0.667,1.000,0.389,0.000,0.889,0.500,0.278,0.722,0.333
10681,1.000,0.231,0.077,0.154,0.000,0.000,0.000,0.000,0.000,0.000
10804,0.000,0.000,0.455,1.000,0.636,0.545,0.000,0.000,0.000,0.000
10820,0.750,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11099,0.000,0.000,1.000,0.500,0.000,0.000,0.000,0.000,0.192,0.423
11105,1.000,0.619,0.429,0.667,0.524,0.286,0.952,0.524,0.190,0.571
11162,0.000,0.000,0.333,0.833,1.000,0.083,0.000,0.000,1.000,0.083
11189,0.000,1.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000
11248,0.308,0.423,0.731,1.000,0.423,0.385,0.538,0.269,0.115,0.538
5653,0.462,1.000,0.846,0.000,0.000,0.615,1.000,1.000,0.077,0.000
6186,1.000,0.158,0.632,0.789,0.000,0.158,0.895,0.684,0.000,0.000
6305,0.565,0.652,0.000,0.826,0.348,0.043,0.000,0.609,0.870,0.913
6618,0.303,0.545,0.303,0.000,0.515,0.667,0.152,0.848,0.606,0.394
6707,0.692,0.269,0.615,0.615,0.423,0.308,0.077,0.000,0.500,0.269
6743,1.000,0.000,0.750,0.000,0.375,0.000,0.000,0.000,0.000,0.000
6975,0.455,1.000,0.909,0.364,0.182,0.182,0.091,0.000,0.000,0.000
7076,1.000,0.583,0.750,0.083,0.000,0.000,0.000,0.000,0.000,0.000
7134,0.318,0.000,0.636,0.273,0.000,0.273,0.364,0.000,0.318,0.273
7169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.500,0
7176,0.632,0.526,1.000,0.421,0.000,0.000,0.000,0.000,0.105,0.000
7180,0.543,0.514,0.286,0.200,0.571,0.657,0.371,0.314,0.429,0.314
7272,0.462,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7285,0.900,0.500,0.500,1.000,0.400,0.000,0.000,0.000,0.000,0.000
7306,0.882,1.000,0.471,0.235,0.000,0.059,0.235,0.000,0.000,0.000
7307,0.650,0.200,0.250,0.500,0.150,0.550,0.300,0.800,0.600,0.000
7367,0.000,1.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
7378,1.000,0.500,0.167,0.333,0.667,0.556,0.444,0.000,0.000,0.556
7463,1.000,0.588,0.000,0.000,0.000,0.647,0.471,0.118,0.000,0.000
7481,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000
7746,0.621,0.517,0.828,1.000,0.793,0.552,0.414,0.379,0.586,0.414
7815,0.000,0.591,0.318,0.864,0.864,0.818,1.000,0.682,0.500,0.455
7965,0.654,0.577,0.077,0.000,0.192,0.654,0.962,0.615,0.346,0.077
7981,0.812,1.000,0.594,0.281,0.187,0.875,0.719,0.375,0.750,0.750
8059,0.000,1.000,0.143,0.000,0.000,0.190,0.048,0.000,0.000,0.000
8179,1.000,0.056,0.111,0.111,0.000,0.000,0.000,0.000,0.000,0.000
8332,1.000,0.706,0.294,0.000,0.235,0.000,0.000,0.000,0.000,0.000
8356,0.500,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
8377,0.000,0.000,0.000,0.667,0.000,1.000,0.000,0.167,0.000,0
8463,0.545,1.000,1.000,0.591,0.545,0.182,0.000,0.000,0.000,0.000
8588,0.364,0.000,0.000,0.000,0.000,0.000,0.000,0.364,0.000,0.000
8598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000
8816,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
8837,0.765,1.000,0.588,0.176,0.176,0.941,0.176,0.000,0.000,0.529
8981,0.000,0.000,0.000,0.455,0.227,0.318,0.409,0.000,0.364,0.500
8989,1.000,0.700,0.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9031,0.280,0.000,0.000,0.000,0.000,0.640,0.360,0.120,0.040,0.760
9093,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.385,0.000,0.154
9247,0.000,0.389,0.778,0.333,0.000,1.000,0.278,0.222,0.722,0.722
9252,1.000,0.500,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.000
9273,1.000,0.437,0.000,0.625,0.813,0.187,0.062,0.000,0.000,0.000
9275,1.000,0.692,0.192,0.000,0.000,0.654,0.077,0.000,0.192,0.500
9285,0.421,0.947,0.316,0.000,0.211,0.789,0.316,0.105,0.000,1.000
9286,1.000,0.640,0.320,0.760,0.560,0.120,0.960,0.040,0.000,0.200
9295,0.652,0.783,0.391,0.652,1.000,0.304,0.000,0.130,0.000,0.043
9307,0.000,1.000,0.267,0.000,0.200,0.400,0.400,0.333,0.000,0.000
9349,0.875,1.000,0.313,0.000,0.875,0.750,0.125,0.000,0.000,0.000
